Timeline,Start time,Duration,Row,Instance number,0-15,15-30,30-45,45-60,60-75,75-90,<flag>Nouveau drapeau,Back 4 Line Management,DATE,Diagonal Pass,GameTime,Opposition,Period,Round,Score,Set Play Phase,Venue,🔸 [OP] Zonal Defence,🔸[OP] Box Defence,🔸[OP] Def Restart Phase,🔹[IP] Build/Progression Phase,🔹[IP] Final Third Phase,🔹[IP] Restart Phase,Ungrouped,Notes,Flags
250816_Sunderland_WestHamUnited_ANALYST,0.0,15.99015632107178,[OP3b] Mid Block(WH setup #1)✅,0,,,,,,,,,2O250816,,00:00:33,West Ham United,1,R1,3-0,,Home,Side Overloads,,,,,,0-15,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,13.286113388813163,[IP2a] OP GK Connected(no overload in MF)❌🔎,0,,,,,,,,,2O250816,,00:00:49,West Ham United,1,R1,3-0,,Home,,,,,,,0-15,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,21.360124066296237,[OP3b] Mid Block(2-1-2 central corridor)✅🔎,0,,,,,,,,,2O250816,,00:01:36,West Ham United,1,R1,3-0,,Home,Back 4 Line Management,,,,,,0-15,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,41.95030479221515,[OP2a] High Press MFM(retention issue)❌❌,0,,,,,,,,,2O250816,,00:02:02,West Ham United,1,R1,3-0,,Home,,,,,,,"Back 4 Line Management, 0-15",,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,40.901135248681385,[IP1a] GK Restarts(Quick around)✅,0,,,,,,,,,2O250816,,00:03:34,West Ham United,1,R1,3-0,,Home,,,,,,"Short, Spare Man (vMFM)",0-15,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,47.19950733269093,"[IP3a] Build (3+2, Rei inside vs 4-4-2)✅",0,,,,,,,,,2O250816,,00:03:54,West Ham United,1,R1,3-0,,Home,,,,Pin & Switch,,,0-15,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,22.274154280341975,[IP4] Attack the Box(blocked cross)🚧,0,,,,,,,,,2O250816,,00:04:18,West Ham United,1,R1,3-0,,Home,,,,,,,0-15,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,14.050079243197274,"Defensive Transition (Loss of Possession, rest defence)✅",0,,,,,,,,,2O250816,,00:04:29,West Ham United,1,R1,3-0,,Home,,,,,,,0-15,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,36.039993370181435,"Attacking Throw In(R, HZ)❌",0,,,,,,,,,2O250816,,00:04:52,West Ham United,1,R1,3-0,,Home,,,,,,,0-15,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,30.814244872075506,"[IP3b] Attacking (4-3-3, switch play, RTRiangle)✅✅",0,,,,,,,,,2O250816,,00:05:25,West Ham United,1,R1,3-0,,Home,,,,,,,0-15,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,8.680058220373155,[IP4] Attack the Box(GNGo)✅,0,,,,,,,,,2O250816,,00:05:48,West Ham United,1,R1,3-0,,Home,,,,,Last Line Break,,0-15,,Nouveau drapeau
