Timeline,Start time,Duration,Row,Instance number,<flag>Nouveau drapeau,Adversaire,Contexte,Date,Event,GameTime,HALF TIME,Half,Journée,Lieu,MINUTE,Pass,Period,Player,Pourcentage,Qualite,Score final,Set Play Phase,TIME PERIOD,Team,Type action,Zone,🔸 [OP] Zonal Defence,🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Def Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Build/Progression Phase,🔹[IP] Final Third Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP],Ungrouped,Notes,Flags
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,21.060113402777773,"[OP1c] GK Restarts (HB, retain possession-)✅",0,,,,,,00:00:00,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,12.850065531794222,"[OP3b] Mid Block(game plan, diag R->L)✅",0,,,,,,00:00:18,,,,,,,1,,,,,,,,,,Diagonal Pass,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,20.293689348288368,"Attacking Free Kick(R, DZ, flip the pressure?)🚧",0,,,,,,00:00:33,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,27.20765440106132,"[IP3a] Build (3+2, game plan, IB LCB, 2nd ball)✅",0,,,,,,00:00:50,,,,,,,1,,,,,,,,,,,,,,,In-Behind,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,25.595723524416826,"[OP1c] GK Restarts (HB, zonal defence, ball rentention)⚠️",0,,,,,,00:01:22,,,,,,,1,,,,,Long,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,17.240101492861385,Attacking Free Kick✅✅,0,,,,,,00:02:20,,,,,,,1,,,,,"Left, Att Half",,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,19.32014295186974,[OP4b] Box Defence (cross)🚧,0,,,,,,00:04:14,,,,,,,1,,,,,,,,,,,,Crosses Conceded,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,25.946113790469553,"[IP1b] GK Restarts Direct (OS, IB wingers)❌",0,,,,,,00:05:40,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,13.260092050736944,"[IP1a] GK Restarts(spare-man, 6)❌",0,,,,,,00:06:27,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,20.620132274348634,"[IP1b] GK Restarts Direct (OS, front3, 2nd ball)✅",0,,,,,,00:07:10,,,,,,,1,,,,,,,,,,,,,,,,,"OS: LONG, Front 3",,,,Nouveau drapeau
