Timeline,Start time,Duration,Row,Instance number,<flag>Nouveau drapeau,Set Play Against,Set Play Phase,🔸[OP] --> 🔹[IP],🔸[OP] Zonal Defence,🔹[IP] Build/Progression Phase,🔹[IP] Final Third Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP] ,Ungrouped,Notes,Flags
Sunderland v Brentford,0.0,23.23275633027538,[1a] GK Restarts(RFB)✅,0,,,,,,,,"OS: LONG, Fullback",,,,Nouveau drapeau
Sunderland v Brentford,0.0,19.291456179511442,"[IP3a] Build (3+1, IB LW)🚧",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,13.760102725340175,"[OP1b] GK Restarts (OS, long)✅",0,,,,,,,,Restart Quickly,,,,Nouveau drapeau
Sunderland v Brentford,0.0,14.930081094104253,"Attacking Throw In(R, DZ)❌",0,,,"Right, Def 1/3",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,28.765762599679874,[2a] OP GK Connected✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,60.61869980918527,"[IP3a] Build (3+1, LSide)✅",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,19.166534954678582,Defensive Transition (Loss of Possession)✅,0,,,,,,In-Behind,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,22.5,[OP2a] High Press MFM✅,0,,,"Mid 1/3, Right",,Direct Ball,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,9.869963110827712,"Attacking Throw In(R, MZ)✅",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,16.889822402290292,[2a] OP GK Connected(RSide)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,42.379107810149435,"[IP3a] Build (3+1, LSide, switch RSide, IB)🚧",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,24.0,[OP2a] High Press MFM(retain possession)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,11.290060348824227,Defending Free Kick✅,0,,,"Deep, Mid 1/3",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,31.51998293367342,"[2a] OP GK Connected(LSide, IB)✅",0,,,,,,,,"Short, Around",,,,Nouveau drapeau
Sunderland v Brentford,0.0,16.809941238662304,[IP4] Attack the Box(cross)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,9.549961900510425,"Attacking Throw In(R, MZ)✅",0,,,"Att 1/3, Right",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,21.390174403476976,"[IP3a] Build (3+1, RTriangle)✅",0,,,,,,In-Behind,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,13.330071935941305,[IP4] Attack the Box(cross)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,13.519982932256426,"Attacking Throw In(L, HZ)✅",0,,,"Left, Long",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,21.208901669909665,"Attacking Corner(L, 2nd phase)✅✅",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,28.569444244436454,[OP1b] GK Restarts (OS)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,56.77970491405313,[OP4a] Low Block✅,0,,,,,Side Overloads,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,45.332240511518194,"[IP3a] Build (3+1, LTriangle)✅",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,14.27996373015867,"[3b] Attacking (4-3-3, RTriangle)✅",0,,,,,,In-Behind,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,12.380058225623998,[IP4] Attack the Box(cross)🚧,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,24.739995139031635,[2a] OP GK Connected(RTriangle)🚧,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,10.189958262471464,[IP4] Attack the Box(cross)🚧,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,27.69993758219971,"Defensive Transition (Loss of Possession, x2)✅",0,,,,,,,,,Counter Press,,,Nouveau drapeau
Sunderland v Brentford,0.0,28.684805944535128,"[IP3a] Build (3+1, IB)✅",0,,,,,,In-Behind,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,35.891944349553796,Defensive Transition (Loss of Possession)✅🔎,0,,,,,,,,,Counter Press,,,Nouveau drapeau
Sunderland v Brentford,0.0,22.141800175769276,"Attacking Throw In(L, MZ)🚧",0,,,"Mid 1/3, Left",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,28.241862740149827,"Defensive Transition (Loss of Possession, 1st phase-)🚧",0,,,,,,,,,Counter Press,,,Nouveau drapeau
Sunderland v Brentford,0.0,30.61624688822485,"[OP4a] Low Block(1v1, LTriangle, 2 crosses)🚧",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,30.61624688822485,[OP4b] Box Defence (crosses)🚧,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,17.424123064838113,[1a] GK Restarts(spare-man)✅,0,,,,,,,,"Short, Around",,,,Nouveau drapeau
Sunderland v Brentford,0.0,19.0,"[IP3a] Build (3+1, through 10)🚧",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,60.865663548145676,[OP3b] Mid Block(backline proactivity)🚧,0,,,,,"5-4-1, Back 4 Line Management",,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,7.370042365507743,[OP4b] Box Defence (cross)✅,0,,,,,5-4-1,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,19.887746257495564,"Defending Throw In(L, long)✅",0,,,"Left, Def 1/3, Long",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,33.0,"[1a] GK Restarts(spare-man, 8)✅",0,,,,,,,,"Short, Around",,,,Nouveau drapeau
Sunderland v Brentford,0.0,20.070164273214687,Defensive Transition (Loss of Possession)❌❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,11.230093267003213,Defensive Transition (Loss of Possession)❌❌,1,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,13.154185321866407,Defensive Transition (Loss of Possession)❌❌,2,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,50.19803395887993,[2a] OP GK Connected(positional play?)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,16.520092662224215,Defensive Transition (Loss of Possession)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,49.13197586219758,[1a] GK Restarts(positional play)❌,0,,,,,,,,"Short, Spare Man (vMFM)",,,,Nouveau drapeau
Sunderland v Brentford,0.0,29.20619030648959,[IP4] Attack the Box(cross)✅,0,,,,,,,,,,,,Nouveau drapeau
