Timeline,Start time,Duration,Row,Instance number,<flag>.,<flag>Keep,Adversaire,Assist,Contexte,Corner Taken,Date,Event,GameTime,HALF TIME,Half,Journée,Lieu,MINUTE,Pass,Period,Player,Pourcentage,Qualite,Score final,Shot Pattern of Play,TIME PERIOD,Team,Type action,Zone,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Zonal Defence,🔹[IP] Attack the Box,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP] ,🔹[OSP],Ungrouped,Notes,Flags
250921_Sunderland_AstonVilla_ANALYST,0.0,22.5,🔹[OSP] Kick-off 🚧,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,14.819958548752837,"🔹[OSP] Attacking Throw In(R, MZ)🚧",0,,,,,,,,,00:00:33,,,,,,,1,,,,,,,,,,,,,,,,,"Right, Def 1/3",,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,18.179959160997726,"🔹[OSP] Attacking Throw In(R, DZ)✅",0,,,,,,,,,00:01:03,,,,,,,1,,,,,,,,,,,,,,,,,"Right, Def 1/3",,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,18.97123981440852,"🔸[OP1] GK Restart(OS, short around)❌",0,,,,,,,,,00:01:56,,,,,,,1,,,,,,,,,,,,,,,,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,23.6521682558232,"🔸[OP3b] Mid Block(narrow, through, cf game plan)✅",0,,,,,,,,,00:02:26,,,,,,,1,,,,,,,,,,,Fast Attack,,,,,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,25.556817753856876,"🔹[IP4] Attacking Phase(LTriangle, swich RTriangle, Throw-in)🚧",0,,,,,,,,,00:02:51,,,,,,,1,,,,,,,,,,,,,,,,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,16.303199823513722,"🔹[OSP] Attacking Throw In(R, MZ)✅",0,,,,,,,,,00:03:19,,,,,,,1,,,,,,,,,,,,,,,,,"Right, Mid 1/3",,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,20.824844000584363,"🔹[IP4] Attacking Phase(LTriangle, rotation)✅",0,,,,,,,,,00:03:27,,,,,,,1,,,,,,,,,,,,,,,,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,13.510557761108487,"🔹[OSP] Attacking Corner(L, 2nd post, blocks?)🚧",0,,,,,,In-swinger,,Pass,00:04:14,,First Half,,,,"Cross, Long ball, Corner taken, Chipped",1,Trai Hume,,,,,,Sunderland,,Center,,,,,,,,"Left, Long",,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,22.498821720747458,"🔹[OSP] Attacking Throw In(R, HZ, long)🚧",0,,,,,,,,,00:04:41,,,,,,,1,,,,,,,,,,,,,,,,,"Right, Att 1/3, Long",,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,23.149910133219976,"🔹[I2a] Low Build-Up(around, IB, 2nd ball)✅",0,,,,,,,,,00:05:09,,,,,,,1,,,,,,,,,,,,,,In-Behind,,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,21.624639626426585,🔹[IP4] Attacking Phase(switch LTriangle)❌,0,,,,,,,,,00:05:26,,,,,,,1,,,,,,,,,,,,,,,,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,12.579978973922891,🔸🔹Defensive Transition(tactical foul)⚠️,0,,,,,,,,,00:05:34,,,,,,,1,,,,,,,,,,,,,,,,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,19.01014384410587,"🔸[OP3b] Mid Blockg(good pressing, depth management)✅",0,,,,,,,,,00:06:11,,,,,,,1,,,,,,,,,,,,,,,,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,11.529959155328811,"🔸[DSP] Defending Throw In(R, DZ, cross)✅",0,,,,,,,,,00:06:51,,,,,,,1,,,,,,,,,,"Central, Def 1/3",,,,,,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,24.539988764172335,"🔹[I1a] GK Restarts(quick, around)✅",0,,,,,,,,,00:06:51,,,,,,,1,,,,,,,,,,,,,,Pin & Switch,Restart Quickly,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,21.710107284644323,"🔸[DSP] Defending Throw In(R, HZ)❌",0,,,,,,,,,00:07:24,,,,,,,1,,,,,,,,,,"Central, Att 1/3",,,,,,,,,,.
250921_Sunderland_AstonVilla_ANALYST,0.0,33.03016489995724,"🔸[OP3b] Mid Block(switch 4-4-2, 5-4-1, not clean)🚧🔎",0,,,,,,,,,00:07:54,,,,,,,1,,,,,,,,,,,,,,,,,,,,.
