Timeline,Start time,Duration,Row,Instance number,<flag>.,Event,Half,Pass,Player,Team,Zone,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[OSP],Ungrouped,Notes,Flags
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,25.530158808747636,🔹[OSP] Kick off✅,0,,"Pass, Pass, Pass, Pass, Pass, Pass","First Half, First Half, First Half, First Half, First Half, First Half",,"Arthur Masuaku, Arthur Masuaku, Arthur Masuaku, Arthur Masuaku, Arthur Masuaku, Arthur Masuaku","Sunderland, Sunderland, Sunderland, Sunderland, Sunderland, Sunderland","Back, Back, Back, Back, Back, Back",,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,31.32021301801842,🔹[I3b] Progression(RFB inside)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,18.880129821450794,"🔹[OSP] Attacking Throw In(R, MZ)✅",0,,,,,,,,,,,,,,"Right, Att 1/3",,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,22.7501401856576,🔹[I2a] Low Build-Up(IB)✅,0,,,,,,,,,,,,In-Behind,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,43.5501341074941,"🔹[OSP] Attacking Corner(R, 2 phases)🚧",0,,,,,,,,,,,,,,Right,,Corner Set-Up,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,12.890086251417245,🔸[OP1] GK Restart✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,22.710165200710463,"🔹[I3b] Progression(LTRiangle + CB, 4v3)❌",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,20.40012036859389,"🔸[DSP] Defending Throw In(L, HZ, foul)❌",0,,,,,,,,"Left, Att 1/3",,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,21.90014019670525,🔸[OP2] High Press(opportunity to jump?)🚧,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,18.110131669751297,"🔸[OP3b] Mid Block(zonal, jumps?)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,15.620101791383263,🔹[I3b] Progression(lack of composure!)❌,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,84.70458045043807,"🔸[OP4] Low Block(LTriangle, RTriangle, crosses)✅",0,,,,,,,,,,,Side Overloads,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,27.27020240327272,"🔹[I1a] GK Restarts(OS, CB steps up, IB, 2nd ball)✅✅",0,,,,,,,,,,,,,"Short, Around",,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,19.03014959061113,🔸[OP1] GK Restart(delayed MFM marking)❌🟨,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,20.890156349524318,"🔸[OP4] Low Block(RSide, isolated 1v1, cross)❌",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,19.150132402806776,"🔸[OP4] Low Block(LTriangle, LCB dragged out, outnumbered cross)⚠️",0,,,,,,,,,,,Side Overloads,,,,,,.
