Timeline,Start time,Duration,Row,Instance number,<flag>.,<flag>Keep,Adversaire,Arthur,Assist,Bertrand,Contexte,Corner Taken,Date,Enzo,Event,GameTime,Granit,HALF TIME,Half,Journée,Lieu,MINUTE,Noah,Nordi,Pass,Period,Player,Pourcentage,Qualite,Score final,Shot Pattern of Play,Simon,TIME PERIOD,Team,Trai,Type action,Zone,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Attack the Box,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP],🔹[OSP],Ungrouped,Notes,Flags
251004_ManchesterUnited_Sunderland_ANALYST,0.0,19.86011947704081,🔹[IP1a] Kick-off🚧,0,,,,,,,,,,,,00:00:00,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,15.580099363066893,"🔹[OSP] Attacking Throw In(R, MZ)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Noah, Trai",,
251004_ManchesterUnited_Sunderland_ANALYST,0.0,7.338715841920504,🔸🔹Offensive transition(turnover)❌,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Granit,,
251004_ManchesterUnited_Sunderland_ANALYST,0.0,30.00197875832896,🔸[OP2] High Press(set-up expected)✅,0,,,,,,,,,,,,00:01:11,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,10.110066138038576,🔸🔹Offensive transition(turnover)❌,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthur,,
251004_ManchesterUnited_Sunderland_ANALYST,0.0,15.50009752267573,"🔸[OP1a] GK Restart(OS, long)✅",0,,,,,,,,,,,,00:01:54,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,21.370145987422546,"🔹[IP3b] Progression(v4-4-2, LTriangle)🚧",0,,,,,,,,,,,,00:02:14,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,16.0,"🔹[OSP] Attacking Throw In(L, MZ)✅",0,,,,,,,,,,,,00:02:45,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"Right, Mid 1/3",,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,26.20016761964081,"🔹[IP4] Attacking Phase(LSide, IB, cross, offside?)✅",0,,,,,,,,,,,,00:02:49,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,17.11011185648374,🔸[OP1a] GK Restart(HBlock)✅,0,,,,,,,,,,,,00:03:38,,,,,,,,,,1,,,,,,,,,,,,,,,Direct (HB),,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,24.63015573594538,🔹[IP2a] Low Build-up(set-up triggers their press)❌,0,,,,,,,,,,,,00:04:02,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Nordi,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,20.8601332048367,"🔹🔸Defensive Transition(offside, Mbeumo)⚠️",0,,,,,,,,,,,,00:04:05,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,49.99238685089949,"🔹[IP3a] Progression(R-L, through, IB)✅",0,,,,,,,,,,,,00:04:29,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,44.440182061774976,"🔹[IP4] Attacking Phase(RTriangle, lack of composure)❌",0,,,,,,,,,,,,00:05:15,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Noah,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,25.142640878595557,"🔹🔸Defensive Transition(lack of composure, opposite side)⚠️",0,,,,,,,,,,,,00:05:35,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,21.509457083746327,"🔹[IP1a] GK Restart(HB, beyond, 2nd ball, turnover 2nd phase)✅",0,,,,,,,,,,,,00:06:31,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,61.77528332368456,"🔸[OP3b] Mid Block(LSide, cross)❌❌⚽️",0,,,,,,,,,,,,00:06:51,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,40.34377489489998,🔹[IP1a] Kick-off🚧,0,,,,,,,,,,,,00:08:12,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,69.26050779678303,"🔸[OP3b] Mid Block(organisation fine, no intensity in duels)🚧🔎",0,,,,,,,,,,,,00:09:14,,,,,,,,,,1,,,,,,,,,,,,,,,,Back 4 Line Management,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,45.900312324911965,"🔹[IP3a] Progression(IB, wrong decision, wide channel open)❌",0,,,,,,,,,,,,00:10:30,,,,,,,,,,1,,,,,,,,,,,,,,,,,,In-Behind,,,,Nordi,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,16.0,🔸[OP1a] GK Restart(organisation)✅🔎,0,,,,,,,,,,,,00:11:40,,,,,,,,,,1,,,,,,,,,,,,,,,Direct (HB),,,,,,,Simon,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,15.67008960888802,"🔹[OSP] Attacking Throw In(R, MZ)❌",0,,,,,,,,,,,,00:12:12,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"Right, Def 1/3",,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,10.140064915451376,🔹[OSP] Attacking Free Kick(2nd phase?)🚧,0,,,,,,,,,,,,00:12:54,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"Def 1/3, Long, Def 1/3, Long",,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,26.019722901690216,"🔹[OSP] Attacking Throw In(R, long, offside 2nd phase)🚧",0,,,,,,,,,,,,00:13:36,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"Right, Att 1/3, Long",,,"Keep, ."
