Timeline,Start time,Duration,Row,Instance number,<flag>.,✅,✅✅,❌❌,⭐️,🔸🔹[OT] Clear the ball,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.613108544885606,🔸[DSP] Kick-off✅,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,18.820117047936904,"🔸[OP2]High Press(MFM, lack of intensity)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,7.570022602044602,🔸[OP3b]Mid Block(IB)✅,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,21.170150565219444,"🔹[IP2]Low Build-up(spare man via the 6, CB steps in, IB for 9)🚧🔍",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,22.10013867499947,"🔸[OP2]High Press(MFM, secure possession, on the edge)✅",0,,,,,,,,,,,🔸🔹[OT] Keep the ball,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,13.0,"🔹[IP3b]Progression(CB steps in, IB, cheap turnover)❌",0,,,,,,,,,,,🔸🔹[OT] Keep the ball,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,19.88010850364165,"🔸[OP1b]GK Restart(8"", long, 1st contact)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,41.96653472001222,"🔸[OP3b]Mid Block(zonal proactivity, mid regain)✅⭐️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,29.273590642396726,"🔹[IP4]Attacking Phase(10 pocket, TDEF, early cross)🚧",0,,,,,,,,,,,🔹🔸[DT] Quick regain,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,10.469932657312938,🔹🔸Defensive transition(counter-press)✅,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,24.224868385813522,"🔸[OP3b]Mid Block(zonal proactivity, mid regain)✅⭐️",0,,,,,,,,,,,🔸🔹[OT] Counter-attack,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.597943455451798,"🔹[OSP] Throw-in(R, long, 2nd phase, block?)🚧",0,,,,,,,,,,,,*,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,23.540115226212265,🔸[OP1a]GK Restart(delay in MFM)❌,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,17.040107581019925,🔸[OP3b]Mid Block(nothing through)✅,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,32.849343659720034,"🔹[OSP] Free kick(deep, 2nd phase, IB, cross front post)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,29.954331666085636,"🔹🔸Defensive transition(counter, quick back in, composure to secure possession)✅⭐️",0,,,,,,,,,,,🔸🔹[OT] Keep the ball,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,19.030123761357004,"🔹[IP3b]Progression(CB–6–RB link, what’s the next connection?)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,49.74367312597349,"🔸[OP3b]Mid Block(zonal proactivity, IB)✅⭐️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,18.849981822562313,"🔹[IP3b]Progression(RCB under pressure, options?)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,29.718567840675746,"🔹[IP1b]GK Restart(8"", right side, are we using the overload?)🚧🔍",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,15.54926223001155,"🔹[IP3a]Progression(4v2, long, 2nd ball)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,43.37280428506449,"🔹[IP3b]Progression(RTriangle, switch, IB)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,34.0,"🔹🔸Defensive transition(Counter-press, turnover, counter-attack)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,22.30737300381304,"🔹[IP3a]Progression(LTriangle, top pattern)✅⭐️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,39.04024627275987,"🔹[IP4]Attacking Phase(RTriangle, play through the 9)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,14.77910550337765,"🔹[IP3b]Progression(RCB to 8 back to goal, cheap turnover)❌",0,,,,,,,,,,,🔹🔸[DT] Back in,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,23.823919850083485,"🔸[OP3b]Mid Block(triggers, distances, through, cross)❌🔍",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,24.20338515368303,"🔹[IP1b]GK Restart(8"", overload not exploited)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.764979334121904,"🔹[OSP] Throw-in(L, DZ)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,9.539958248299286,"🔹[OSP] Throw-in(L, DZ)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,68.02859945674902,🔸[OP3b-4]Mid-Low Block(4-4-2→5-4-1)✅⭐️,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,14.499952782029482,"🔸🔹Offensive transition(flip the pressure, foul gained)✅",0,,,,,,,,,,,🔸🔹[OT] Clear the ball,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,27.531771962005905,"🔹[OSP] Free kick(deep, 2 phases, 2 crosses)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,23.630120681689277,"🔸[OP1a]GK Restart(quick, caught out)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,15.324843641051984,"🔸[OP3b]Mid Block(through our forwards, on the edge)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,29.633214818820306,🔸[OP3b-4]Mid-Low Block(4-4-2→5-4-1)✅⭐️,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,29.64013046626974,"🔸[OP1a]GK Restart(spare man, 4v2, IB to the 9)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,37.941285597597016,"🔹[IP3a]Progression(4v2, pattern on the right outside?)❌🔍",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.030090220905322,"🔸[OP2]High Press(MFM, 1st contact, possession not secured)✅",0,,,,,,,,,,,,,.
