Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅✅,Ungrouped,Notes,Flags
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,21.557779984012605,🔸[DSP] Kick-off✅,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,19.76011492106165,"🔹[OSP] Throw-in(L, DZ, flip the pressure, pattern ok)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,33.02928789455841,"🔸[OP2]High Press(flip the pressure, MFM, short, regain, composure)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,30.260267194404847,"🔹[IP2]Low Build-up(short, around, into trap)❌🔍",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,9.280038406051872,"🔸[DSP] Throw-in(R, MZ)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,23.630132908278128,"🔸[OP2]High Press(short, MFM, regain)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,22.064881500728802,"🔹[OSP] Throw-in(R, MZ, pattern+, end-product)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,11.370081989383834,"🔹[OSP] Corner(R, delivery, blockers)❌🔍",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,19.918204391084146,"🔹[OSP] HT Throw-in(R, HZ, long, blockers?)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,11.040071025117953,"🔹[OSP] Throw-in(L, HZ, to feet)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,13.820083519711773,"🔹[OSP] Throw-in(L, long, blockers?)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,28.27018565087775,"🔹[OSP] Throw-in(L, long, 3 phases)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,20.874159069324378,"🔹[OSP] Throw-in(R, HZ, dynamic blocker back post?)🚧🔍",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,23.489032816170948,🔹[IP2]Low Build-up(into the 9 under pressure)❌,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,30.75913770852526,"🔹[IP2]Low Build-up(setup ok, cheap turnover)❌⚠️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,27.928631972594644,"🔹🔸Defensive transition(cheap turnover, positions/reactions)❌❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,27.95301273106685,🔸[OP4]Low Block(pressing triggers → backpass)✅⭐️,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,26.280177126520584,"🔸[OP2]High Press(MFM, 9 bypassed too easlily)❌",0,,,,,,,,,,,,,,,,,.
