Timeline,Start time,Duration,Row,Instance number,<flag>.,GameTime,Period,✅✅,Ungrouped,Notes,Flags
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,23.199194368852687,"🔹[OSP] Kick-off(IB, turnover, quick regain)🚧",0,,,,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,23.820161168897656,"🔹[IP3a]Progression(3v2, RCB steps inside to find the 9, cross intercepted)✅⭐️",0,,00:00:44,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,16.695126760285348,"🔹[OSP] Throw-in(R, HZ, long, 1st contact lost, 2nd-ball shot from the edge)✅✅",0,,00:01:20,1,,✅✅,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,34.32862266927259,"🔹[OSP] Corner(R, back-post delivery inaccurate, 2nd ball)🚧",0,,00:02:05,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,20.455981640086975,"🔸[OP2]High Press(throw-in to the GK, MFM, clearance, 2nd ball)✅",0,,00:02:43,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,40.722102796906654,🔹[IP3a]Progression(3v2 build-up; inaccurate long across → need for simpler option)🚧,0,,00:02:54,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,10.360064610568458,"🔸[OP1a]GK Restart(OS, long, foul won)✅",0,,00:04:02,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,6.460043286667769,"🔹[OSP] Free kick(deep central, long, poor block)❌",0,,00:04:46,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,20.690087786810295,"🔸[OP1a]GK Restart(OS, long, 1st contact, 2nd ball lost, back in shape)🚧",0,,00:05:09,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,36.80270157678871,"🔸[OP3b]Mid Block(vs B3; R-side passive, IB allowed, clearance)🚧🔍",0,,00:05:23,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,15.160110205806063,"🔸[OP3b]Mid Block(R-side more active, cheap foul conceded)❌",0,,00:06:13,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,24.440139609616836,"🔸[DSP] Free kick(line disorganised, step-back; blocks & marking effective, 1st contact won)✅",0,,00:07:01,1,,,,.
