Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅,✅✅,❌,❌❌,🔸🔹[OT] Clear the ball,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Counter-attack,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
260228_Bournemouth_Sunderland_ANALYST,0.0,23.563826548820543,🔹[OSP] Kick-off✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,16.7073268058289,"🔸[OP1a]GK Restart(OS, long, into Rayan)✅⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,19.227332024410032,"🔹[OSP] Throw-in(L, DZ, flip the pressure)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,15.434129341720876,"🔸[OP2]High Press(OS, long, 1st contact)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,14.43541465500823,"🔸[OP1b]GK Restart(OS, short, around, out)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,20.320135263991546,"🔹[OSP] Throw-in(R, MZ, pattern? Long, 2nd ball)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,36.20121668001704,"🔹[IP2]Low Build-up(OS, long beyond, 2nd ball, shot-penalty situation)✅✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,41.610002519498266,"🔹[OSP] Free kick(R, wide, blocks? 2nd phase)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,26.78840962051936,"🔹[OSP] Throw-in(L, HZ, long, 1st contact lost, 2nd ball, foul won)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,20.534301641789625,"🔹[OSP] Free kick(L, wide, blocks??)🚧🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,11.538581705688557,"🔹[OSP] Corner(R, load the 6, blocks/poor delivery)❌",0,,,,,,,,,,,,,,,,,,,,,,,,Use Chems dynamic block - too predictable,.
260228_Bournemouth_Sunderland_ANALYST,0.0,15.717931565873187,"🔸[OP1a]GK Restart(OS, long into Rayan, 1st contact lost)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,23.19821727747103,"🔸[OP3b]Mid Block(good press, IB well controlled)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,17.556405146381735,"🔹[OSP] Throw-in(R, MZ, turnover, pattern?)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,25.05611338375809,"🔸[OP3b]Mid Block(B3, IB, RTriangle, track the runner, cross)🚧⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,28.44704206551114,"🔸[DSP] Corner(R, 3-man comb.)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,1st Corner,.
260228_Bournemouth_Sunderland_ANALYST,0.0,13.991476007057486,"🔹[OSP] Throw-in(R, DZ, pattern? Turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,34.16970718791708,"🔹[IP2]Low Build-up(OS, short, mid-range GK-LB, cheap turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,16.5298639455782,"🔹🔸Defensive transition(deep turnover, 2v3, shot)❌❌",0,,,,,,,,,,,,,,,,,,,,,,,"🔹🔸[DT] Counter-attack, ❌❌",,.
260228_Bournemouth_Sunderland_ANALYST,0.0,18.444159121546363,"🔹[IP1a]GK Restart(OS, short, around, technical accuracy)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,36.500271109229516,"🔸[DSP] Free kick(R, wide, 3-man, overload non exploited)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,48.31031759472012,"🔸[OP4]Low Block(L→R triangles, track the runner, on the edge)🚧⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,11.490000000000009,🔸🔹Offensive transition(quick turnover after the regain)❌,0,,,,,,,,,,,,,,,,,,,,,,,"🔸🔹[OT] Keep the ball, ❌",,.
260228_Bournemouth_Sunderland_ANALYST,0.0,33.38516148452811,"🔸[OP3b]Mid Block(L→R sides, good press, regain)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,12.959985369897936,"🔹[IP2]Low Build-up(OS, short, turnover under pressure)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,14.749567385309547,"🔹[IP3b]Progression(RCB steps in, IB, inaccurate)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,32.6285115756574,"🔹[IP2]Low Build-up(OS, short, LSide, RSide combinations)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,15.518071044147064,"🔹[OSP] Throw-in(R, HZ, pattern? Turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
