Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,Event,HALF TIME,Half,Journée,Lieu,MINUTE,Pass,Player,Pourcentage,Qualite,Score final,TIME PERIOD,Team,Type action,Zone,✅✅,❌❌,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,Ungrouped,Notes,Flags
260314_Sunderland_Brighton_ANALYST,0.0,13.482481304232294,🔸[DSP] Kick-off🚧,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,23.88049537365214,"🔹[OSP] Throw-in(L, DZ, flip the pressure)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,20.933601965909475,"🔹[OSP] Throw-in(L, DZ, switch the play)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,38.398210356107484,"🔹[IP2]Low Build-up(short, spare man, IB, cross)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,12.5,"🔹[IP5]Attack the Box(RSide cross, rushed)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,17.74539945823153,"🔸[DSP] Throw-in(L, DZ, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,15.433158694112535,"🔹[OSP] Throw-in(L, MZ, pattern?)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.899774132586572,"🔹[OSP] Throw-in(L, MZ, intention?)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,20.4932634886477,"🔸[OP2]High Press(OS, short, around)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,5.580030782312917,"🔹[OSP] Throw-in(R, MZ, quick restart)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,19.744994120706906,"🔹[IP3b]Progression(LTriangle, 6 linking play IB)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.700160005724115,"🔸[OP1a]GK Restart(OS, short, forced error)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,12.29169025986721,"🔹[OSP] Throw-in(R, HZ, quick restart)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,24.758854476888246,"🔹[OSP] Corner(R, load the 6-yard box, poor delivery)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,26.161868206861072,"🔹[IP3a]Progression(post corner-kick, 8 at LB, IB)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,15.020098774363248,"🔸[OP3b]Mid Block(IB on our LB, well covered)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,30.539170499458578,"🔸[OP2]High Press(OS, long, clean regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,25.72566408667177,"🔹[IP3b]Progression(around LSide, into the 9, cheap turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,25.95492295291473,"🔸🔹Offensive transition(RSide progression, good cross)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,14.0,"🔹[IP5]Attack the Box(RSide cross, no box presence)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,16.857524670504745,"🔹[OSP] Corner(L, poor delivery)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,15.138130589722095,"🔸[OP1a]GK Restart(OS, long, clean 1st contact)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,25.866066185855914,"🔹[IP1b]GK Restart(OS, mid range pass to LB, rushed decision, deep turnover)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,32.975437663796015,"🔹🔸Defensive transition(deep turnover, well managed)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,21.65944526538999,"🔸[OP3b]Mid Block(RTriangle, cross)❌❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,27.610361724944596,"🔸[DSP] Corner(R, 2nd phase, lack of intensity)❌❌",0,,,,,,,,,,,,,,,,,,,,,,,,❌❌,,.
260314_Sunderland_Brighton_ANALYST,0.0,24.31016217559477,🔹[IP1a]GK Restart(HBlock)✅⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,44.2359964694233,"🔹[IP4]Attacking Phase(CPress, RW 1v1, cross)✅✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,20.715525270866692,"🔸[OP1b]GK Restart(OS, long, cleqn 1st contact)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.53528813217565,"🔹[IP1b]GK Restart(OS, mid-range pass to RB)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,35.380215217868,"🔸[OP2]High Press(OS, short then IB, midfield management)✅🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,13.92009723693252,"🔹[IP2]Low Build-up(OS, short, GK to the 6, cheap turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,🔹🔸[DT] Back in,,.
260314_Sunderland_Brighton_ANALYST,0.0,29.78199840096977,"🔸[OP3b]Mid Block(LTRiangle, cross)❌🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,22.8601606326165,"🔹[IP1b]GK Restart(OS, rushed short, forced long, turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,11.270074365353366,🔸[OP3b]Mid Block(dominant in duels)✅⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,13.015408402259936,"🔸🔹Offensive transition(opportunity, sloppy)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.860172814911607,"🔸[OP3b]Mid Block(zonal shape, pressing triggers??)🚧🔍",0,,,,,,,,,,,,,,,,,,,,,,,,🔸🔹[OT] Keep the ball,,.
260314_Sunderland_Brighton_ANALYST,0.0,17.6451727856479,"🔹[IP2]Low Build-up(OS, mid-range pass to RB, foul won)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,16.571205392137472,"🔹[IP2]Low Build-up(OS, unecessary backpass, forced long)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,40.78858843967964,"🔸[OP2]High Press(OS, long, 2 phases,clean regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,13.24992230867349,🔸🔹Offensive transition(shot outside the box)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,37.91024142790286,"🔸[OP3b]Mid Block(zonal shape, pressing triggers??)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.17231405485063,🔸[OP4]Low Block(through)❌⚠️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
