phase,home_decided,home_success%,away_decided,away_success%,delta_pp
AttSetPlay,95,56.8,68,47.1,9.8
DefSetPlay,66,74.2,43,72.1,2.1
DefTrans,115,60.9,116,57.8,3.1
IP1,186,55.9,186,43.5,12.4
IP2,85,44.7,96,45.8,-1.1
IP3,116,57.8,104,44.2,13.5
IP4,97,73.2,81,61.7,11.5
IP5,2,100.0,9,55.6,44.4
OP1,176,72.2,171,77.8,-5.6
OP2,147,68.7,135,72.6,-3.9
OP3,126,76.2,181,68.5,7.7
OP4,179,62.6,158,61.4,1.2
OP5,1,100.0,2,100.0,0.0
OffTrans,80,57.5,93,43.0,14.5
Other,388,57.7,400,58.5,-0.8
Penalty,6,50.0,2,0.0,50.0
